timestamp_utc,series,value
2026-09-25T11:51:30+00:00,"series",1
2026-09-25T11:51:45+00:00,"series",1
2026-09-25T11:52:00+00:00,"series",1
2026-09-25T11:52:15+00:00,"series",1
2026-09-25T11:52:30+00:00,"series",1
2026-09-25T11:52:45+00:00,"series",1
2026-09-25T11:53:00+00:00,"series",1
2026-09-25T11:53:15+00:00,"series",1
2026-09-25T11:53:30+00:00,"series",1
2026-09-25T11:53:45+00:00,"series",1
2026-09-25T11:54:00+00:00,"series",1
2026-09-25T11:54:15+00:00,"series",1
2026-09-25T11:54:30+00:00,"series",1
2026-09-25T11:54:45+00:00,"series",1
2026-09-25T11:55:00+00:00,"series",1
2026-09-25T11:55:15+00:00,"series",1
2026-09-25T11:55:30+00:00,"series",1
2026-09-25T11:55:45+00:00,"series",1
2026-09-25T11:56:00+00:00,"series",1
2026-09-25T11:56:15+00:00,"series",1
2026-09-25T11:56:30+00:00,"series",1
2026-09-25T11:56:45+00:00,"series",1
2026-09-25T11:57:00+00:00,"series",1
2026-09-25T11:57:15+00:00,"series",1
2026-09-25T11:57:30+00:00,"series",1
2026-09-25T11:57:45+00:00,"series",1
2026-09-25T11:58:00+00:00,"series",1
2026-09-25T11:58:15+00:00,"series",1
2026-09-25T11:58:30+00:00,"series",1
2026-09-25T11:58:45+00:00,"series",1
2026-09-25T11:59:00+00:00,"series",1
2026-09-25T11:59:15+00:00,"series",1
2026-09-25T11:59:30+00:00,"series",1
2026-09-25T11:59:45+00:00,"series",1
2026-09-25T12:00:00+00:00,"series",1
2026-09-25T12:00:15+00:00,"series",1
2026-09-25T12:00:30+00:00,"series",1
2026-09-25T12:00:45+00:00,"series",1
2026-09-25T12:01:00+00:00,"series",1
2026-09-25T12:01:15+00:00,"series",1
2026-09-25T12:01:30+00:00,"series",1
2026-09-25T12:01:45+00:00,"series",1
2026-09-25T12:02:00+00:00,"series",1
2026-09-25T12:02:15+00:00,"series",1
2026-09-25T12:02:30+00:00,"series",1
2026-09-25T12:02:45+00:00,"series",1
2026-09-25T12:03:00+00:00,"series",1
2026-09-25T12:03:15+00:00,"series",1
2026-09-25T12:03:30+00:00,"series",1
2026-09-25T12:03:45+00:00,"series",1
2026-09-25T12:04:00+00:00,"series",1
